Категория,Артикул,Бренд,Фото (ссылка),Фото (ссылка) 2,,,,Фото (ссылка) 3,Размер,Описание,Материал,Покрытие,Камень,Цена,Количество,Коллекции,
серьги,LA2L109,La2L,"https://drive.google.com/file/d/1qfluyCArawGrlEr965y00vI0-GE6GhwI/view?usp=share_link


",https://drive.google.com/file/d/1vYavNKLIMytuEwlD-2hcQs6bKT72lklk/view?usp=share_link,,,,,7.5 см,"Моно серьга Сердце с камеей розой

Длинная моно-серьга с крупным гранатовым сердцем, камеей на камне яшма. На конце серьги коралл"," 
Латунь
 
   "," 

Позолота 
   "," 

 
 Гранат, Коралл, Яшма",72 000,1,,
серьги,LA2L149/3,La2L,https://drive.google.com/file/d/1ksN1ejgdm9J96e-MHsqIm_4kI3vQYNHX/view?usp=drive_link,,,,,,0.6 см,"Моно серьга Сердце и стрела

Серьга для двух проколов - два элемента соединены цепью

Сердце: 0.6 см
Стрела: 1.2 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Перламутр",38 000,1,,
серьги,LA2L149/2,La2L,https://drive.google.com/file/d/1twKdBIblpFgg9y6MD1Ew3WH0NWJvJIB0/view?usp=drive_link,,,,,,0.6 см,"Моно серьга Сердце и стрела

Серьга для двух проколов - два элемента соединены цепью

Сердце: 0.6 см
Стрела: 1.2 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Змеевик",38 000,0,,
серьги,LA2L151/2,La2L,https://drive.google.com/file/d/1A5_JHnWaYOLvoVNPjMuz1DBp6eIakxkH/view?usp=drive_link,,,,,,1 см,"Моно серьга Песочные часы и месяц 

Серьга для двух проколов - два элемента соединены цепью

Часы: 1 см
Месяц: 0.8 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Зеленый агат",38 000,1,,
серьги,LA2L4,La2L,https://drive.google.com/file/d/1CiYWcOE0yFYyRIT1JqnsQZ_Kr0pRjB3j/view?usp=share_link,"https://drive.google.com/file/d/1tr0hA1WUmys01ErZPZ8iffiuZHOKOqUo/view?usp=share_link
https://drive.google.com/file/d/1u7QfHSTpRArJSKimkVcOXkQ7ByNwj56n/view?usp=share_link
",,,,,ø 2 см,Серьги-кольца Медуза PM," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Аметист",81 000,1,,
серьги,LA2L5,La2L,https://drive.google.com/file/d/1Z9_ZaGPGHKNAzZzufZrYEV-oOJ9BIib5/view?usp=share_link,https://drive.google.com/file/d/11okKFPC9DWVZOoAUni3M-U3bbcUXsPsV/view?usp=share_link,https://drive.google.com/file/d/10VtB6xtLM8uB0dcASKbWe58Sv5eWgrAs/view?usp=share_link,,,,ø 5 см,Серьги-кольца Медуза GM," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Хризолит",118 000,0,,
серьги,LA2L172/1,La2L,https://drive.google.com/file/d/1ZaHkIKkSNod09a0eQaSOSbzZyvXGTZKL/view?usp=drive_link,https://drive.google.com/file/d/1W0bzzAuns-pR8nyJSuNKG8D8Su6-51za/view?usp=drive_link,,,,,ø 2.5 см,"Серьги-кольца Jasmine

Этническая коллекция Jasmine с богемным флером.

Формы и цвета отсылают нас к африканской культуре - с её насыщенной палитрой, символизмом и природной мощью.
"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Гессонит",71 000,1,,
серьги,LA2L93/7,La2L,https://drive.google.com/file/d/1WxRlwS7r1ULwYQ4vp8Lu6pQ1atLvNF9h/view?usp=drive_link,https://drive.google.com/file/d/1yMIlHEpCgn21hB-aZe_PZsRsV4Hjb0lS/view?usp=drive_link,,,,,3.5 см,"Серьги Асимметричные Sacha Птичка и глаза

Птичка: 3.5 см
Глаза: 1.5 см"," 
Латунь
 
 
"," 

Позолота 
 
"," 

 
 Аметист
",61 000,1,,
серьги,LA2L93/1,La2L,https://drive.google.com/file/d/13nQY7BpPRSQVO0T54cDxDJnBFPQhuhuK/view?usp=drive_link,https://drive.google.com/file/d/1yMIlHEpCgn21hB-aZe_PZsRsV4Hjb0lS/view?usp=drive_link,,,,,3.5 см,"Серьги Асимметричные Sacha Птичка и глаза

Птичка: 3.5 см
Глаза: 1.5 см"," 
Латунь
 
 "," 

Позолота 
 ",Гранат,61 000,1,,
серьги,LA2L93/5,La2L,https://drive.google.com/file/d/1OKa0qYDypN9Pz39MI4BlIjgT_a0RkuQ8/view?usp=drive_link,https://drive.google.com/file/d/1yMIlHEpCgn21hB-aZe_PZsRsV4Hjb0lS/view?usp=drive_link,,,,,3.5 см,"Серьги Асимметричные Sacha Птичка и глаза

Птичка: 3.5 см
Глаза: 1.5 см"," 
Латунь
 
 "," 

Позолота 
 ",Перламутр,61 000,1,,
серьги,LA2L93/8,La2L,https://drive.google.com/file/d/132H4ZSpuermT2E1-6_1XqpQXNyzka0Z6/view?usp=drive_link,https://drive.google.com/file/d/1yMIlHEpCgn21hB-aZe_PZsRsV4Hjb0lS/view?usp=drive_link,,,,,3.5 см,"Серьги Асимметричные Sacha Птичка и глаза

Птичка: 3.5 см
Глаза: 1.5 см"," 
Латунь
 
 "," 

Позолота 
 ",Змеевик,61 000,2,,
серьги,LA2L153,La2L,https://drive.google.com/file/d/1pqYgQO3BSy0xNMGCpyPF0_NITRtNL5se/view?usp=drive_link,,,,,,5.5 см,"Серьги длинные Sacha Кольцо с подвесками

Есть такие амулеты — ловцы снов, а эти — ловцы взглядов.

Гипнотические серьги с несколькими подвесками — с особенной энергетикой и притягательной силой "," 
Латунь
 
  "," 

Позолота 
  ","Турмалин, Коралл",103 000,1,,
серьги,LA2L163/2,La2L,https://drive.google.com/file/d/1ThsJ_yxBAH9xzkv7XYtRYiU4mmnc9NWm/view?usp=drive_link,,,,,,3.5 см,"Серьги Ундина
с камеями в виде рыбок 

Символика

Рыбки очень символичны - приносят лёгкость и удачу, как прикосновение самой ундины. 

Говорят, что в самые тёплые летние ночи, когда луна касается поверхности воды, ундины выходят из глубин и танцуют на глади озёр. Их движения легки, словно рябь на воде, а волосы струятся, переливаясь в лунном свете.

Рыбки плывут рядом с ними, играя в их светящихся тенях, а самые любопытные даже касаются их ладоней. Те, кто видел этот танец, говорят, что ундины умеют дарить удачу – если загадать желание, глядя на их отражение в воде, оно обязательно сбудется.

"," 
Латунь
 
   "," 

Позолота 
  "," 

 
 Красная Яшма, Гранат",127 000,0,,
серьги,LA2L163/1,La2L,https://drive.google.com/file/d/16Pzjw5tRMdA_fEqtmWt9Imjs82JIFuTL/view?usp=drive_link,,,,,,3.5 см,"Серьги Ундина
с камеями в виде рыбок 

Символика

Рыбки очень символичны - приносят лёгкость и удачу, как прикосновение самой ундины. 

Говорят, что в самые тёплые летние ночи, когда луна касается поверхности воды, ундины выходят из глубин и танцуют на глади озёр. Их движения легки, словно рябь на воде, а волосы струятся, переливаясь в лунном свете.

Рыбки плывут рядом с ними, играя в их светящихся тенях, а самые любопытные даже касаются их ладоней. Те, кто видел этот танец, говорят, что ундины умеют дарить удачу – если загадать желание, глядя на их отражение в воде, оно обязательно сбудется.
"," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Перламутр, Турмалин",127 000,1,,
серьги,LA2L129/3,La2L,https://drive.google.com/file/d/1WgeNNH9bMsNOeIAWrNbcDXNZsYi4D6iz/view?usp=drive_link,https://drive.google.com/file/d/1Brp7qaUihOEnJKV-sqeksn-5AcEzCJiJ/view?usp=drive_link,,,,,3.5 см,"Серьги Sissi Змейки с яблоком 

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.
"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Зеленый агат",81 000,0,,
серьги,LA2L129/1,La2L,https://drive.google.com/file/d/1prONc3eUVlbJd8iJcZgtoFYoOPH8pGHc/view?usp=share_link,https://drive.google.com/file/d/1Brp7qaUihOEnJKV-sqeksn-5AcEzCJiJ/view?usp=drive_link,,,,,3.5 см,"Серьги Sissi Змейки с яблоком 

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.
"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Перламутр",81 000,1,,
серьги,LA2L165/2,La2L,https://drive.google.com/file/d/1tzHXz51gYGrP7j_2e6NKuyNRvcT9DjlA/view?usp=drive_link,https://drive.google.com/file/d/1iwhdslGQcPdKxCQa83GYqdTJ9h6xJq5Y/view?usp=drive_link,,,,,3 см,"Серьги Rhaenira 
в форме Дев-кариатид 

Символика

В кариатидах легко угадывается архетип Девы, женский образ, в котором соединяются грация и внутренняя сила.

Кариатиды, по-гречески «девушки из Кари», участницы праздников в честь Артемиды, где они танцевали с кувшинами на головах. Их фигуры мы видим и в архитектуре: женские колонны, поддерживающие своды храмов. Самые известные из них украшают Эрехтейон на Акрополе, и Лувр в Париже.

Дизайнер Marie-Hélène переосмыслила этот образ в серьгах, где стилистика соединяет Европу и Восток: от античных колоннад до тонких восточных линий, читаемых в изящных кисточках.

Длина: 3 см
Ширина: 1 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Перламутр",89 000,1,,
серьги,LA2L169/2,La2L,https://drive.google.com/file/d/1UPMRTMzgrnnYyTuPedWtg7g0i7yQryCb/view?usp=share_link,,,,,,2 см,"Серьги Aya

в форме клыков со львами 
 "," 
Латунь
 
   "," 

Позолота 
   "," 

 
 Змеевик, Зеленая эмаль",62 000,1,,
серьги,LA2L169/1,La2L,нет фото,,,,,,2 см,"Серьги Aya

в форме клыков со львами 
  "," 
Латунь
 
   "," 

Позолота 
   "," 

 
 Сердолик, Черная эмаль",62 000,0,,
серьги,LA2L173/2,La2L,https://drive.google.com/file/d/1b8scKbYMuO-rHY3_efaA5zl8WbsQQg6o/view?usp=drive_link,,,,,,2.3 см,"Серьги Иша

Этническая коллекция Jasmine с богемным флером.

Формы и цвета отсылают нас к африканской культуре - с её насыщенной палитрой, символизмом и природной мощью.
"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Цитрин",63 000,1,,
серьги,LA2L138,La2L,https://drive.google.com/file/d/16lANFHWkD3aCgSdKM5IyzjzYe4E6hAbh/view?usp=drive_link,https://drive.google.com/file/d/1ge9GzXF4eQTBeQ_Da3CU47jbQI1dW9Ew/view?usp=share_link,,,,,3.5 см,"Серьги Амур

Вдохновленные живописью барокко, рубенсовские крылатые путти заигрывают с нами, обещая скорую любовную встречу."," 
Латунь
 
 "," 

Позолота 
 "," 

 
Белая эмаль",106 000,1,,
серьги,LA2L175,La2L,https://drive.google.com/file/d/1IpqF0x6DAKdKo5oEG59CGvGyLHji6dAC/view?usp=drive_link,https://drive.google.com/file/d/1GDH7YHvRysIBicwtfQMcnFTq0TD1w_og/view?usp=share_link,https://drive.google.com/file/d/1VxK-gEtn50VdyQWyLsBZbiylyMjwK7_V/view?usp=share_link,,,,2 см,Серьги Амфора," 
Латунь
 "," 

Позолота "," 

 ",70 000,2,,
серьги,LA2L208,La2L,https://drive.google.com/file/d/1yJ8AcnYY_a4FLrtBphKquFkOQNV3Nk1q/view?usp=drive_link,https://drive.google.com/file/d/1YbGYHpXzipD2zA2uuefKTk6telKChvSd/view?usp=drive_link,,,,,5.3 см,"Серьги Змейки 

с тонкими узорами

Символика

Змейка как символ связана с обновлением. Она сбрасывает кожу и начинает путь заново, поэтому в её образе чувствуется цикличность и внутренняя сила. В восточной культуре её часто связывают с мягким соблазном и мудростью, а её энергия и интуиция читаются в том, как она движется тихо, реагирует точно и будто ощущает пространство всем телом.
"," 
Латунь
 
    "," 

Позолота 
    "," 

 
 Розовый Турмалин, Сердолик, Гранат",89 000,0,,
серьги,LA2L206/1,La2L,https://drive.google.com/file/d/1UMxXHPAi2vesssq9AHtM3_JWI_6QAe_o/view?usp=drive_link,,,,,,3.5 см,"Серьги Rhoda 

в форме свитков с подвесками-каплями из натуральных камней"," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Гессонит, Аметист",82 000,1,,
серьги,LA2L206/2,La2L,https://drive.google.com/file/d/10D2Og5YPc2b6AHlJ4thF1klOULRyqAOH/view?usp=drive_link,,,,,,3.5 см,"Серьги Rhoda 

в форме свитков с подвесками-каплями из натуральных камней"," 
Латунь",позолота," 

 
 Цитрин, Зеленый и Синий лабрадорит",82 000,1,,
серьги,LA2L207,La2L,https://drive.google.com/file/d/1ZBGJiV4jlzpShiLq_mM8M724v2_qtYMg/view?usp=share_link,,,,,,1.5 см,Серьги-медальоны Два сердца ," 
Латунь
 
 "," 

Позолота 
 "," 

 
Красная эмаль",49 000,3,,
серьги,LA2L205,La2L,https://drive.google.com/file/d/1dqhIn_GC-mZofcr1gpL8GoPZMWlla_zi/view?usp=share_link,,,,,,3.5 см,"Серьги Sacha с цветком и рукой

Sacha - это довольно разнообразная коллекция, богатая символами.
Глаз традиционно ассоциируется с интуицией, светом, интеллектом и открытостью мышления. Он встречается во многих цивилизациях. "," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Лазурит",71 000,1,,
серьги,LA2L204/2,La2L,https://drive.google.com/file/d/1Js19WHYG9fYagcq9nDQjoQjbvD2H6M-d/view?usp=drive_link,https://drive.google.com/file/d/1rAi8akwjEIHEzo3OPHSQpV8GK-FbhG8i/view?usp=drive_link,https://drive.google.com/file/d/1PBdBeW3UkNLovI7D_zH777ReGdXbGHLY/view?usp=drive_link,,,,2.8 см,"Серьги Rhoda 

Коллекция Rodha берет вдохновение из мира, где архитектура превращается в поэзию форм, а полудрагоценные камни раскрывают свое богатство оттенков.
Каждый раз, дизайнер бренда Мари-Элен приезжая в Джайпур, навещает Джантар-Мантар - удивительный архитектурный ансамбль, созданный для изучения звезд.
Этот величественный и научный памятник махарадж наполнил коллекцию мистическим, почти небесным звучанием."," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Гранат, Пирит",82 000,0,,
серьги,LA2L204/1,La2L,https://drive.google.com/file/d/1D5_LOAMFEegzjzaPYMYtG_y-9x-uKsBA/view?usp=drive_link,https://drive.google.com/file/d/1rAi8akwjEIHEzo3OPHSQpV8GK-FbhG8i/view?usp=drive_link,https://drive.google.com/file/d/1PBdBeW3UkNLovI7D_zH777ReGdXbGHLY/view?usp=drive_link,,,,2.8 см,"Серьги Rhoda 

Коллекция Rodha берет вдохновение из мира, где архитектура превращается в поэзию форм, а полудрагоценные камни раскрывают свое богатство оттенков.
Каждый раз, дизайнер бренда Мари-Элен приезжая в Джайпур, навещает Джантар-Мантар - удивительный архитектурный ансамбль, созданный для изучения звезд.
Этот величественный и научный памятник махарадж наполнил коллекцию мистическим, почти небесным звучанием."," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Цитрин, Пирит",82 000,1,,
серьги,LA2L203/2,La2L,https://drive.google.com/file/d/13fGjh0ejWypeOR-xZkcHRilQ1aT43qF2/view?usp=drive_link,,,,,,4.5 см,"Серьги Zana Скарабей

Коллекция Zana вдохновлена древним Египтом. 

Скарабей символ силы, благородства и солнца, его прочный панцирь хранит от невзгод и придаёт смелости. Мастера оживляют скарабея - он в полёте или покое. В полёте символизирует обновление и движение вперёд, а в покое - защиту и внутреннюю силу.

Длина: 4.5 см
Ширина: 2 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Оникс",97 000,1,,
серьги,LA2L203/1,La2L,https://drive.google.com/file/d/1VOwS6dBQCMEkwV-HOHMxjQiPnC07AyrI/view?usp=drive_link,,,,,,4.5 см,"Серьги Zana Скарабей

Коллекция Zana вдохновлена древним Египтом. 

Скарабей символ силы, благородства и солнца, его прочный панцирь хранит от невзгод и придаёт смелости. Мастера оживляют скарабея - он в полёте или покое. В полёте символизирует обновление и движение вперёд, а в покое - защиту и внутреннюю силу.

Длина: 4.5 см
Ширина: 2 см"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Змеевик",97 000,1,,
серьги,LA2L202,La2L,https://drive.google.com/file/d/1VucOu23gZqFR8ciMSd2BZu1-Dh8G-CqC/view?usp=drive_link,https://drive.google.com/file/d/1nYkeCSfbPnSHLfYGSy1tw_c9bQX0Kkaa/view?usp=drive_link,,,,,4.5 см,"Серьги Zana Орнаменты

из египетской коллекции 
"," 
Латунь
 "," 

Позолота "," 

 ",52 000,2,,
серьги,LA2L200/1,La2L,https://drive.google.com/file/d/154I5RNl1LgLR_jm_Tyx0vKZQhjY66x6E/view?usp=drive_link,,,,,,4 см,"Серьги Simone большие

Коллекция Simone воплощает тепло Марокко и изящество его архитектуры. Узоры кирпичных фасадов оживлены выступами, напоминающими переплетение нитей.

Во всей этой архитектуре чувствуется нюанс, хрупкое равновесие, игра контрастов и фактур. В коллекции Simone это вдохновение проявляется в прямоугольной форме кирпичиков – лаконичной, но выразительной линии."," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Пирит",78 000,1,,
серьги,LA2L200/3,La2L,https://drive.google.com/file/d/1YqRdFYKHnHk_mQz8-NfUt6MlEk94inRi/view?usp=drive_link,,,,,,4 см,"Серьги Simone большие

Коллекция Simone воплощает тепло Марокко и изящество его архитектуры. Узоры кирпичных фасадов оживлены выступами, напоминающими переплетение нитей.

Во всей этой архитектуре чувствуется нюанс, хрупкое равновесие, игра контрастов и фактур. В коллекции Simone это вдохновение проявляется в прямоугольной форме кирпичиков – лаконичной, но выразительной линии."," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Розовый Турмалин",78 000,0,,
серьги,LA2L200/2,La2L,https://drive.google.com/file/d/1I7vgvJ2NeUzB74TnjGkOGB4HlUFcdzIc/view?usp=drive_link,,,,,,4 см,"Серьги Simone большие

Коллекция Simone воплощает тепло Марокко и изящество его архитектуры. Узоры кирпичных фасадов оживлены выступами, напоминающими переплетение нитей.

Во всей этой архитектуре чувствуется нюанс, хрупкое равновесие, игра контрастов и фактур. В коллекции Simone это вдохновение проявляется в прямоугольной форме кирпичиков – лаконичной, но выразительной линии."," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Цитрин",78 000,1,,
серьги,LA2L201/1,La2L,https://drive.google.com/file/d/1FzzI3UCiWpM4IcxH99va4Ct5VNYrkvYb/view?usp=drive_link,,,,,,3 см,"Серьги Simone маленькие

Коллекция Simone воплощает тепло Марокко и изящество его архитектуры. Узоры кирпичных фасадов оживлены выступами, напоминающими переплетение нитей.

Во всей этой архитектуре чувствуется нюанс, хрупкое равновесие, игра контрастов и фактур. В коллекции Simone это вдохновение проявляется в прямоугольной форме кирпичиков – лаконичной, но выразительной линии."," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Пирит",59 000,1,,
серьги,LA2L197/2,La2L,https://drive.google.com/file/d/1iUUrT4WqONBLmltOlZMIjZ7Szw9jWS5k/view?usp=drive_link,,,,,,1 см,Серьги Sacha капля," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Гессонит, Кристаллы сваровски",63 000,1,,
Кольца,LA2L33/2,La2L,https://drive.google.com/file/d/1G5LkANU_X2vQNisqzF_qoMEbb7r_0CQp/view?usp=share_link,https://drive.google.com/file/d/1G5LkANU_X2vQNisqzF_qoMEbb7r_0CQp/view?usp=share_link,,,,,16,"Кольцо перстень Jasmine III

Кольцо-перстень с 3 камнями"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Лабрадорит",80 000,0,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L33/1,La2L,https://drive.google.com/file/d/1-XZwjKrH699V9XAiZQ3ec-jtFPvTvjCf/view?usp=share_link,,,,,,17,"Кольцо перстень Jasmine III

Кольцо-перстень с 3 камнями"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Зеленый агат",80 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L34,La2L,https://drive.google.com/file/d/16PHNKPfqjeDziOmuQ1lZAc1we05lPcTo/view?usp=share_link,,,,,,16.5,"Кольцо перстень Jasmine 

Кольцо-перстень с крупным камнем"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Зеленый агат",79 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L142/1/2,La2L,https://drive.google.com/file/d/1pNoDw3ybgYxmWW-z6s1DLntUnK9j9Ost/view?usp=drive_link,https://drive.google.com/file/d/1NqTzC4e9eG05P9hpflQLHWIPr_j23Xrb/view?usp=drive_link,,,,,16,"Кольцо перевертыш Сила Руки

Кольцо с центральной частью-перевертыш: с одной стороны камень, с другой рука. Символ того, что сила всегда в ваших руках"," 
Латунь
 
  "," 

Позолота 
  "," 

 
 Розовый Турмалин",68 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L83,La2L,пока нет фото,,,,,,16.5,"Кольцо обруч 

Тонкое кольцо-обруч из маленьких шариков с центральным камнем"," 
Латунь
 
 
"," 

Позолота 
 
"," 

 
 Аметист
",39 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L83,La2L,пока нет фото,,,,,,17,"Кольцо обруч 

Тонкое кольцо-обруч из маленьких шариков с центральным камнем"," 
Латунь
 
 
"," 

Позолота 
 
"," 

 
 Аметист
",39 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L83/5,La2L,пока нет фото,,,,,,17.5,"Кольцо обруч 

Тонкое кольцо-обруч из маленьких шариков с центральным камнем"," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Зеленый агат",39 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L141/1,La2L,https://drive.google.com/file/d/1yaDUYe_te06QRcjwfRFZz-PUMUjbcqwW/view?usp=drive_link,https://drive.google.com/file/d/1wePfQuKtIBNH7dXbrx2_SPLnvgDWYfgS/view?usp=drive_link,,,,,16.5,"Кольцо перевертыш Глаз AMETHYST

Sacha - это довольно разнообразная коллекция, богатая символами.
Глаз традиционно ассоциируется с интуицией, светом, интеллектом и открытостью мышления. Он встречается во многих цивилизациях. "," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Аметист",59 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
Кольца,LA2L141/1,La2L,https://drive.google.com/file/d/1yaDUYe_te06QRcjwfRFZz-PUMUjbcqwW/view?usp=drive_link,https://drive.google.com/file/d/1wePfQuKtIBNH7dXbrx2_SPLnvgDWYfgS/view?usp=drive_link,,,,,17.5,"Кольцо перевертыш Глаз AMETHYST

Sacha - это довольно разнообразная коллекция, богатая символами.
Глаз традиционно ассоциируется с интуицией, светом, интеллектом и открытостью мышления. Он встречается во многих цивилизациях. "," 
Латунь
 
 "," 

Позолота 
 "," 

 
 Аметист",59 000,1,"возможна минимальная погрешность в размере (до ±0,3 мм)",
